#Position (bp)	Coverage	Std
7831.5	129.23215425871535	17.839563669675407
23493.5	126.45096411697101	18.987054444962705
39155.5	121.77193206487038	33.817275112412645
54817.5	127.06908440812157	91.90893533454854
70479.5	118.05752777423062	32.38930245542063
86141.5	123.43046865023624	19.644493942454723
101803.5	121.36853530838974	18.189827164778414
117465.5	84.11403396756481	56.542157538501044
133127.5	122.79217213638105	20.47537928684997
148789.5	126.33418465074703	20.152485046672986
164451.5	119.18899246584088	18.87832624028225
180113.5	123.53645766824161	23.22908955288074
195775.5	126.94068445920061	21.861636969520415
211437.5	107.2413484867833	45.52212945599257
227099.5	121.31266760311583	21.43537027824921
242761.5	118.65227940237517	21.183324566470144
258423.5	119.45741284637977	25.896641902100825
274085.5	123.13331630698507	16.267045812507668
289747.5	106.56921210573363	47.32386170426627
305409.5	127.70533776018388	23.794805305893895
321071.5	124.3486144809092	18.03853230399547
336733.5	123.78687268548079	22.770370752164645
352395.5	124.36578980973056	18.111896625893497
368057.5	122.75360745754054	20.93462957307873
383719.5	119.42025284127187	18.475124519871926
399381.5	121.72442855318606	21.750782500744968
415043.5	122.65087472864258	19.53951103227537
430705.5	119.74613714723534	21.168072215434247
446367.5	122.63919039713957	19.992518713132576
462029.5	124.8119014174435	20.346688699374226
477691.5	124.38532754437492	18.96037578286908
493353.5	109.77205976248244	34.77733135457758
509015.5	116.13101774996808	24.50237466959038
524677.5	114.29785468011748	32.07352621949645
540339.5	125.9939343634274	23.14298081439834
556001.5	100.50172391776273	47.501536715089344
571663.5	122.89164857617162	23.66958794394915
587325.5	118.38781764780998	18.550407259699263
602987.5	122.46526624952114	18.68573992424192
618649.5	112.05740007661856	35.34044975072946
634311.5	111.68567232792746	48.687727696481296
649973.5	123.74473247350275	20.11546290256446
665635.5	119.53275443749202	21.104007539095278
681297.5	123.46303154131017	24.821893977614476
696959.5	15.511748180309029	41.0438951374643
712621.5	123.41393180947516	17.74306902797478
728283.5	128.85174307240456	24.77957480040727
743945.5	84.64295747669519	49.92896371289408
759607.5	45.48352700804495	58.35093841397362
775269.5	108.20399693525731	36.79625747155077
790931.5	69.33399310432895	59.693422472684226
806593.5	116.40927084663517	20.385143608488644
822255.5	116.02892350913038	14.902841600826925
837917.5	117.80379261907802	20.251538815995765
853579.5	116.02215553569148	14.19786027429061
869241.5	113.97228961818413	23.268355293490416
884903.5	119.4794406844592	18.557339689195377
900565.5	77.49240199208275	58.65589252149606
916227.5	118.59583705784702	20.865445391618838
931889.5	116.55267526497255	18.565806850558875
947551.5	116.96105222832333	20.892230966907636
963213.5	117.00268164985314	23.827153411358598
978875.5	117.98576171625591	20.875201533768955
994537.5	118.58006640275826	19.795764758855483
1010199.5	119.49291278253096	18.700218894277935
1025861.5	119.53779849316818	19.715051257181617
1041523.5	121.58064104201252	21.10032375030095
1057185.5	129.09028221172264	33.257306885010635
1072847.5	160.7086578980973	122.68446560123058
1088509.5	116.60726599412591	18.426055946258398
1104171.5	115.9427276209935	20.986628539348615
1119833.5	117.85340314136126	20.98345664298509
1135495.5	117.26037543097944	16.541440976216645
1151157.5	114.69154641808198	20.36047102814188
1166819.5	117.42887243008556	17.347619959911757
1182481.5	122.14493678968203	16.171415684020545
1198143.5	118.97503511684332	21.005766883645745
1213805.5	117.75130890052355	19.141996730228392
1229467.5	116.97152343251182	21.016512106586394
1245129.5	120.31483846252075	34.785218540872776
1260791.5	118.23445281573234	18.787701210278392
1276453.5	112.11288468905632	15.886354553953476
1292115.5	117.02649725450134	14.73878892119331
1307777.5	116.9350657642702	21.363073795143784
