#Insert size (bp)	insert size
363.0	13251.0
364.0	13198.0
365.0	12988.0
366.0	12617.0
367.0	12775.0
368.0	12676.0
369.0	12329.0
370.0	12223.0
371.0	12020.0
372.0	11889.0
373.0	11666.0
374.0	11563.0
375.0	11478.0
376.0	11332.0
377.0	11168.0
378.0	11103.0
379.0	10864.0
380.0	10706.0
381.0	10772.0
382.0	10340.0
383.0	10166.0
384.0	10125.0
385.0	9859.0
386.0	9674.0
387.0	9716.0
388.0	9786.0
389.0	9435.0
390.0	9382.0
391.0	9270.0
392.0	9029.0
393.0	8947.0
394.0	8912.0
395.0	8590.0
396.0	8515.0
397.0	8476.0
398.0	8231.0
399.0	8252.0
400.0	7871.0
401.0	8073.0
402.0	7707.0
403.0	7695.0
404.0	7589.0
405.0	7225.0
406.0	7460.0
407.0	7237.0
408.0	7153.0
409.0	7111.0
410.0	7031.0
411.0	6861.0
412.0	6864.0
413.0	6519.0
414.0	6446.0
415.0	6465.0
416.0	6301.0
417.0	6203.0
418.0	6185.0
419.0	6032.0
420.0	5968.0
421.0	5841.0
422.0	5802.0
423.0	5561.0
424.0	5490.0
425.0	5445.0
426.0	5331.0
427.0	5308.0
428.0	5030.0
429.0	5058.0
430.0	5000.0
431.0	4950.0
432.0	4729.0
433.0	4778.0
434.0	4671.0
435.0	4620.0
436.0	4454.0
437.0	4477.0
438.0	4340.0
439.0	4440.0
440.0	4212.0
441.0	4218.0
442.0	4086.0
443.0	4090.0
444.0	4070.0
445.0	3949.0
446.0	3846.0
447.0	3869.0
448.0	3795.0
449.0	3627.0
450.0	3598.0
451.0	3556.0
452.0	3460.0
453.0	3275.0
454.0	3330.0
455.0	3258.0
456.0	3125.0
457.0	3100.0
458.0	3080.0
459.0	3038.0
460.0	2932.0
461.0	2880.0
462.0	2730.0
463.0	2845.0
464.0	2791.0
465.0	2748.0
466.0	2655.0
467.0	2676.0
468.0	2545.0
469.0	2499.0
470.0	2418.0
471.0	2443.0
472.0	2397.0
473.0	2362.0
474.0	2299.0
475.0	2167.0
476.0	2163.0
477.0	2180.0
478.0	2071.0
479.0	2143.0
480.0	1920.0
481.0	2040.0
482.0	2047.0
483.0	1920.0
484.0	1888.0
485.0	1763.0
486.0	1772.0
487.0	1706.0
488.0	1826.0
489.0	1772.0
490.0	1688.0
491.0	1683.0
492.0	1619.0
493.0	1615.0
494.0	1647.0
495.0	1575.0
496.0	1524.0
497.0	1473.0
498.0	1405.0
499.0	1431.0
500.0	1300.0
501.0	1362.0
502.0	1433.0
503.0	1275.0
504.0	1233.0
505.0	1288.0
506.0	1184.0
507.0	1186.0
508.0	1208.0
509.0	1094.0
510.0	1121.0
511.0	1110.0
512.0	1112.0
513.0	1034.0
514.0	1052.0
515.0	955.0
516.0	1017.0
517.0	968.0
518.0	971.0
519.0	981.0
520.0	905.0
521.0	911.0
522.0	899.0
523.0	907.0
524.0	841.0
525.0	864.0
526.0	856.0
527.0	801.0
528.0	820.0
529.0	767.0
530.0	756.0
531.0	795.0
532.0	715.0
533.0	641.0
534.0	692.0
535.0	699.0
536.0	657.0
537.0	645.0
538.0	657.0
539.0	607.0
540.0	660.0
541.0	571.0
542.0	586.0
543.0	583.0
544.0	559.0
545.0	532.0
546.0	494.0
547.0	512.0
548.0	514.0
549.0	501.0
550.0	524.0
551.0	471.0
552.0	427.0
553.0	459.0
554.0	489.0
555.0	455.0
556.0	417.0
557.0	415.0
558.0	449.0
559.0	394.0
560.0	376.0
561.0	391.0
562.0	396.0
563.0	373.0
564.0	407.0
565.0	332.0
566.0	324.0
567.0	338.0
568.0	342.0
569.0	329.0
570.0	307.0
571.0	303.0
572.0	321.0
573.0	304.0
574.0	304.0
575.0	304.0
576.0	263.0
577.0	250.0
578.0	269.0
579.0	261.0
580.0	242.0
581.0	233.0
582.0	230.0
583.0	206.0
584.0	243.0
585.0	227.0
586.0	256.0
587.0	232.0
588.0	207.0
589.0	225.0
590.0	215.0
591.0	203.0
592.0	211.0
593.0	234.0
594.0	214.0
595.0	184.0
596.0	200.0
597.0	174.0
598.0	151.0
599.0	152.0
600.0	200.0
601.0	171.0
602.0	159.0
603.0	151.0
604.0	141.0
605.0	131.0
606.0	130.0
607.0	142.0
608.0	124.0
609.0	131.0
610.0	129.0
611.0	114.0
612.0	120.0
613.0	130.0
614.0	156.0
615.0	121.0
616.0	115.0
617.0	101.0
618.0	114.0
619.0	84.0
620.0	100.0
621.0	127.0
622.0	113.0
623.0	106.0
624.0	105.0
625.0	93.0
626.0	87.0
627.0	80.0
628.0	88.0
629.0	80.0
630.0	66.0
631.0	65.0
632.0	102.0
633.0	92.0
634.0	76.0
635.0	82.0
636.0	68.0
637.0	85.0
638.0	78.0
639.0	78.0
640.0	61.0
641.0	69.0
642.0	81.0
643.0	81.0
644.0	66.0
645.0	73.0
646.0	59.0
647.0	77.0
648.0	50.0
649.0	52.0
650.0	66.0
651.0	46.0
652.0	47.0
653.0	57.0
654.0	66.0
655.0	47.0
656.0	46.0
657.0	67.0
658.0	51.0
659.0	50.0
660.0	48.0
661.0	46.0
662.0	74.0
663.0	30.0
664.0	48.0
665.0	49.0
666.0	45.0
667.0	33.0
668.0	36.0
669.0	29.0
670.0	27.0
671.0	25.0
672.0	29.0
673.0	27.0
674.0	26.0
675.0	29.0
676.0	28.0
677.0	40.0
678.0	21.0
