#Position (bp)	insert size
7831.5	2444.3996913580245
23493.5	483.44042128450474
39155.5	1857.2305755395682
54817.5	1903.5970814132104
70479.5	1800.5960491986582
86141.5	338.8260626006582
101803.5	1668.3207384526975
117465.5	274.35841822762626
133127.5	854.871129587156
148789.5	1072.4683422606786
164451.5	422.7244792436106
180113.5	778.8783754590625
195775.5	981.8434628734772
211437.5	552.6506646971935
227099.5	950.29675899486
242761.5	1517.539749888343
258423.5	1238.4764551038315
274085.5	515.2582529738861
289747.5	1680.0539007092198
305409.5	1673.9441694169418
321071.5	1340.4495477175515
336733.5	557.3846099887767
352395.5	362.54120438210873
368057.5	1265.8329200028343
383719.5	3044.644620299114
399381.5	1006.9079118028534
415043.5	1837.5632830296126
430705.5	1691.5478638667632
446367.5	1191.1701661364439
462029.5	1462.419603218646
477691.5	612.7934729322782
493353.5	313.1775813579751
509015.5	2321.676105797968
524677.5	3005.839210907152
540339.5	281.84415584415586
556001.5	686.2435964453738
571663.5	444.2813561721404
587325.5	360.071722516167
602987.5	888.0986005089059
618649.5	1593.4997646320414
634311.5	1431.08805875849
649973.5	516.7011696730552
665635.5	954.8653958090804
681297.5	398.50373638886913
696959.5	271.6178107606679
712621.5	785.9250633267661
728283.5	970.5102409638554
743945.5	283.31650465140586
759607.5	1019.3010440835267
775269.5	722.7153308405137
790931.5	270.73188010899185
806593.5	1032.9039430773792
822255.5	1902.3769328452977
837917.5	968.1198557019804
853579.5	1449.0644007155636
869241.5	1238.84825142505
884903.5	1588.4304961970302
900565.5	279.1094873579216
916227.5	919.844729136164
931889.5	1176.0183139319345
947551.5	1080.638408048528
963213.5	5767.806420521945
978875.5	860.3719063052446
994537.5	912.4956178790535
1010199.5	890.2243863586996
1025861.5	497.24030782633946
1041523.5	794.5587231622352
1057185.5	272.4173112079876
1072847.5	275.3904209815398
1088509.5	402.29569413511507
1104171.5	940.7931397622988
1119833.5	1085.0089528142657
1135495.5	894.2643500073779
1151157.5	826.113646702047
1166819.5	826.1141223641224
1182481.5	1501.3682159557886
1198143.5	1445.982331897496
1213805.5	887.014624418347
1229467.5	418.1747651800902
1245129.5	1965.5403279170648
1260791.5	617.99354791407
1276453.5	1477.095921215881
1292115.5	348.72792738729277
1307777.5	2185.506220666021
1323439.5	1667.7995228455754
1339101.5	329.04958281384864
1354763.5	866.1137967272182
1370425.5	1789.8042105263157
1386087.5	767.5060111800291
1401749.5	1396.647775746496
1417411.5	1183.5608164787027
1433073.5	703.8974271596525
1448735.5	923.2670578499963
1464397.5	364.00186344663086
1480059.5	1125.544343006195
1495721.5	811.5862438220757
1511383.5	601.7675592317398
1527045.5	378.6613224915618
1542707.5	1499.7318251533743
1558369.5	952.6931186187433
1574031.5	1467.748243473116
1589693.5	1154.894643385617
1605355.5	1031.4152889040395
1621017.5	658.9108541872671
1636679.5	918.5697493383154
1652341.5	334.99475125513464
1668003.5	1003.6798862725086
1683665.5	634.8309764309764
1699327.5	1176.299450980392
1714989.5	903.2134068090888
1730651.5	417.0939409556063
1746313.5	1522.1263197873147
1761975.5	772.6165917574465
1777637.5	640.1077576225396
1793299.5	457.0234549803256
1808961.5	720.5012234588365
1824623.5	869.0194534857316
1840285.5	3449.173832825285
1855947.5	1185.4986388384755
1871609.5	1242.173400548595
1887271.5	1241.917284316632
1902933.5	582.492305336498
1918595.5	826.8049599389547
1934257.5	960.8873636848929
1949919.5	620.8340057214112
1965581.5	447.5165557963973
1981243.5	1346.858261550509
1996905.5	1085.5487832613146
2012567.5	729.5688272100112
2028229.5	763.1609447094705
2043891.5	292.06360506962915
2059553.5	1573.858741920227
2075215.5	1072.960181337363
2090877.5	866.1292952314166
2106539.5	283.33208329221355
2122201.5	601.2387773516806
2137863.5	1130.5941053608726
2153525.5	512.6034694378528
2169187.5	1000.2243949350858
2184849.5	652.8831870886869
2200511.5	1273.9358288770054
2216173.5	607.1873684210526
2231835.5	1035.336220336047
2247497.5	749.4215418261344
2263159.5	1248.4946453515442
2278821.5	960.878649379722
2294483.5	335.0530966211241
2310145.5	1336.806486654252
2325807.5	430.70763332957495
2341469.5	837.6024429013637
2357131.5	1045.1699992219715
2372793.5	835.4884670831331
2388455.5	424.4504148876178
2404117.5	279.9291458048854
2419779.5	710.8928916827853
2435441.5	714.5850975162527
2451103.5	1410.255503305391
2466765.5	1364.1041929382093
2482427.5	285.97039349224366
2498089.5	550.2771965704397
2513751.5	405.9954958577978
2529413.5	873.4117049380208
2545075.5	795.3538486521597
2560737.5	665.7018051174202
2576399.5	495.38514626303817
2592061.5	1214.296085858586
2607723.5	1232.9810005362751
2623385.5	536.168450324429
2639047.5	486.32328258447825
2654709.5	1397.1317475572641
2670371.5	886.2547628537266
2686033.5	521.0198665218066
2701695.5	303.06618415161915
2717357.5	773.8037888009738
2733019.5	630.3427457842826
2748681.5	767.0904522613065
2764343.5	616.3667069879966
2780005.5	594.1844786473011
2795667.5	705.9098772105954
2811329.5	281.8193103448276
2826991.5	474.5131306944338
2842653.5	497.7631007751938
2858315.5	371.6644549763033
2873977.5	365.99081733323214
2889639.5	769.3303557677499
2905301.5	476.4659195296711
2920963.5	277.6130357281252
2936625.5	273.49842866121935
2952287.5	514.167587985996
2967949.5	393.61546003016593
2983611.5	908.7320334678021
2999273.5	275.1929235931066
3014935.5	349.0266250185929
3030597.5	413.9366088161004
3046259.5	1017.659281894576
3061921.5	589.3917783329548
3077583.5	443.59133877353156
3093245.5	278.4360573923893
3108907.5	337.90289707380987
3124569.5	1084.4618748291882
3140231.5	281.94818222959725
3155893.5	370.2381969664602
3171555.5	315.54036943890384
3187217.5	571.0767191760073
3202879.5	458.4022091310751
3218541.5	283.8874713521772
3234203.5	312.699287054409
3249865.5	1056.9772275714504
3265527.5	336.93589139987444
